epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.78497,1.94975,3.66249,2.07053,0.00311,0.4537,0.03932,0.01214,2.42251,3.40909,2.84324,0.00034296,0.00034296,0.00034296
2,6.39636,1.87997,3.29191,1.92449,0.00603,0.90741,0.10317,0.05429,2.14122,3.23594,2.20862,0.000672482,0.000672482,0.000672482
3,8.90575,1.80602,3.10412,1.84796,0.0044,0.50926,0.04598,0.01906,2.09678,3.38271,2.28238,0.000973709,0.000973709,0.000973709
4,11.3939,1.78111,2.88525,1.85435,0.41809,0.13889,0.08573,0.03895,2.31715,3.76556,2.54124,0.00124664,0.00124664,0.00124664
5,13.8658,1.7888,2.93694,1.87921,0.38249,0.05775,0.04901,0.02184,2.47508,3.47443,2.68451,0.00120265,0.00120265,0.00120265
6,16.141,1.8181,2.88036,1.89758,0.48992,0.19444,0.09418,0.04148,2.26556,4.36941,2.48566,0.00114606,0.00114606,0.00114606
7,18.7514,1.75934,2.80904,1.85918,0.42647,0.20833,0.08256,0.03779,2.07053,7.58405,2.34231,0.00108947,0.00108947,0.00108947
8,21.1287,1.74785,2.70149,1.87062,0.38956,0.25463,0.03176,0.00735,2.793,5.00066,3.57415,0.00103288,0.00103288,0.00103288
9,23.6347,1.72964,2.68023,1.85198,0.38457,0.21759,0.0543,0.023,2.81881,3.49139,3.16954,0.000976293,0.000976293,0.000976293
10,26.0946,1.66432,2.51268,1.80012,0.4703,0.23611,0.42414,0.30121,2.05236,2.94369,2.27532,0.000919704,0.000919704,0.000919704
11,28.6055,1.66921,2.50418,1.7949,0.55218,0.19907,0.21761,0.08714,2.09767,3.34103,2.36006,0.000863116,0.000863116,0.000863116
12,31.0535,1.66508,2.46378,1.77704,0.80598,0.125,0.31838,0.11618,2.25233,4.24079,2.68955,0.000806528,0.000806528,0.000806528
13,33.5189,1.59355,2.37071,1.69463,0.94671,0.08333,0.1737,0.08444,2.32086,3.29516,2.57293,0.000749939,0.000749939,0.000749939
14,35.9383,1.65807,2.42111,1.74545,0.51796,0.22222,0.26411,0.12588,1.89725,2.59717,2.14369,0.000693351,0.000693351,0.000693351
15,38.3954,1.59232,2.32181,1.71466,0.55829,0.20842,0.28284,0.13607,2.09291,2.59698,2.29833,0.000636762,0.000636762,0.000636762
16,55.6558,1.67954,2.77601,1.93095,0.56362,0.19907,0.2332,0.09855,2.04515,2.93994,2.24082,0.000580174,0.000580174,0.000580174
17,58.2101,1.56397,2.64041,1.86766,0.5617,0.30264,0.29134,0.13408,1.90167,2.47257,2.12179,0.000523586,0.000523586,0.000523586
18,60.7378,1.49868,2.5097,1.74634,0.48872,0.18516,0.53804,0.21832,1.98351,2.6228,2.18513,0.000466997,0.000466997,0.000466997
19,63.2386,1.55042,2.38701,1.82365,0.57202,0.24074,0.38285,0.13473,1.82855,2.69288,2.02494,0.000410409,0.000410409,0.000410409
20,65.7905,1.47856,2.36136,1.71985,0.84593,0.13889,0.5583,0.1951,2.03059,2.4074,2.21025,0.00035382,0.00035382,0.00035382
21,68.2256,1.41312,2.22733,1.70752,0.45035,0.41204,0.54318,0.26498,1.95741,2.33488,2.14698,0.000297232,0.000297232,0.000297232
22,70.5407,1.40768,2.19623,1.69408,0.44877,0.38914,0.54245,0.26124,1.84049,2.32309,2.078,0.000240644,0.000240644,0.000240644
23,72.8301,1.39254,2.12983,1.69402,0.4612,0.41204,0.57651,0.23249,1.90668,2.33145,2.09563,0.000184055,0.000184055,0.000184055
24,75.2319,1.36331,2.08611,1.64126,0.56764,0.28241,0.59515,0.23901,1.86757,2.36845,2.10279,0.000127467,0.000127467,0.000127467
25,77.6932,1.3178,1.94748,1.57822,0.54707,0.32841,0.59214,0.22561,1.86373,2.23917,2.10085,7.08784e-05,7.08784e-05,7.08784e-05
